,Album,Artist,Metascore,User Score,Release Date,Summary,Link to Album Page,Link to Artist Page,Publisher,Link to Publisher Page,Album Cover Image,Album Genres,No. of Critic Reviews,Link to Critic Reviews,No. of User Reviews,Link to User Reviews,Link to More Details and Album Credits,Amazon Link
0,Ten Freedom Summers,Wadada Leo Smith,99,4.3,2012-05-22,The four-disc set from the jazz trumpeter was inspired by the Civil Rights Movement.,https://www.metacritic.com/music/ten-freedom-summers/wadada-leo-smith,https://www.metacritic.com/person/wadada-leo-smith,Cuneiform Records,https://www.metacritic.com/company/cuneiform-records,https://static.metacritic.com/images/products/music/4/b7d7ac01ded710609e22f23086fe9c69-98.jpg,['Jazz'],8,https://www.metacritic.com/music/ten-freedom-summers/wadada-leo-smith/critic-reviews,196.0,https://www.metacritic.com/music/ten-freedom-summers/wadada-leo-smith/user-reviews,https://www.metacritic.com/music/ten-freedom-summers/wadada-leo-smith/details,http://www.amazon.com/Ten-Freedom-Summers-Wadada-Smith/dp/B007JZFX9C%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB007JZFX9C
1,Fetch the Bolt Cutters,Fiona Apple,98,8.1,2020-04-17,"The fifth full-length studio release for the alternative singer-songwriter was self-produced and features contributions from Davíd Garza, Sebastian Steinberg, and Amy Aileen Wood.",https://www.metacritic.com/music/fetch-the-bolt-cutters/fiona-apple,https://www.metacritic.com/person/fiona-apple,Epic,https://www.metacritic.com/company/epic,https://static.metacritic.com/images/products/music/6/3fac9024d9a862da5cb23f87a4853448-98.jpg,"['Pop/Rock', 'Adult', 'Alternative', 'Pop/Rock', 'Alternative/Indie', 'Rock', 'Alternative', 'Singer/Songwriter']",28,https://www.metacritic.com/music/fetch-the-bolt-cutters/fiona-apple/critic-reviews,1310.0,https://www.metacritic.com/music/fetch-the-bolt-cutters/fiona-apple/user-reviews,https://www.metacritic.com/music/fetch-the-bolt-cutters/fiona-apple/details,https://www.amazon.com/dp/B0872JGR7D%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0872JGR7D
2,SMiLE,Brian Wilson,97,7.9,2004-09-28,"Well, better 37 years late than never. Originally intended to be the Beach Boys' 1967 follow-up to their legendary 'Pet Sounds,' 'Smile' was finally recorded as originally intended in April 2004 by Wilson and his current band, including co-songwriter Van Dyke Parks.",https://www.metacritic.com/music/smile/brian-wilson,https://www.metacritic.com/person/brian-wilson,Nonesuch,https://www.metacritic.com/company/nonesuch,https://static.metacritic.com/images/products/music/1/e735bf38ca5df5fbeb5f25c738f124fc-98.jpg,"['Rock', 'Pop']",29,https://www.metacritic.com/music/smile/brian-wilson/critic-reviews,512.0,https://www.metacritic.com/music/smile/brian-wilson/user-reviews,https://www.metacritic.com/music/smile/brian-wilson/details,
3,Van Lear Rose,Loretta Lynn,97,8.4,2004-04-27,"It's been over 40 years since she released her first album (and four since her last, 2000's 'Still Country'), but the coal miner's daughter returns to the spotlight with this 13-track effort (all Lynn-penned originals), produced by The White Stripes' Jack White.",https://www.metacritic.com/music/van-lear-rose/loretta-lynn,https://www.metacritic.com/person/loretta-lynn,Interscope,https://www.metacritic.com/company/interscope,https://static.metacritic.com/images/products/music/8/c53f80d40f680b29bd0c2fbffa69a812-98.jpg,['Country'],27,https://www.metacritic.com/music/van-lear-rose/loretta-lynn/critic-reviews,139.0,https://www.metacritic.com/music/van-lear-rose/loretta-lynn/user-reviews,https://www.metacritic.com/music/van-lear-rose/loretta-lynn/details,
4,To Pimp A Butterfly,Kendrick Lamar,96,8.9,2015-03-16,"The third full-length studio release from the hip hop artist features guest appearances from Bilal, George Clinton, James Fauntleroy, Ronald Isley, Rapsody, Snoop Dogg, Thundercat, and Anna Wise.",https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar,https://www.metacritic.com/person/kendrick-lamar,Interscope / Aftermath,https://www.metacritic.com/company/interscope-aftermath,https://static.metacritic.com/images/products/music/3/323ffc6b09737dc2dbb7d511772466e0-98.jpg,['Rap'],44,https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar/critic-reviews,3960.0,https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar/user-reviews,https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar/details,http://www.amazon.com/dp/B00UDDM7K0%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00UDDM7K0
5,Ghosteen,Nick Cave & the Bad Seeds,96,8.6,2019-10-04,The 17th full-length studio release for Australian rock band is influenced in part by the accidental death of Nick Cave's 15-year old son in 2015 and is considered the third and final part of trilogy of albums that includes 2013's Push the Sky Away and 2016's Skeleton Tree.,https://www.metacritic.com/music/ghosteen/nick-cave-the-bad-seeds,https://www.metacritic.com/person/nick-cave-the-bad-seeds,Ghosteen,https://www.metacritic.com/company/ghosteen,https://static.metacritic.com/images/products/music/7/7070c2a7429b968cb5357f7e222fd7b7-98.jpg,['Pop/Rock'],28,https://www.metacritic.com/music/ghosteen/nick-cave-the-bad-seeds/critic-reviews,279.0,https://www.metacritic.com/music/ghosteen/nick-cave-the-bad-seeds/user-reviews,https://www.metacritic.com/music/ghosteen/nick-cave-the-bad-seeds/details,https://www.amazon.com/dp/B07XJ8D9Z7%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB07XJ8D9Z7
6,Histoire de Melody Nelson,Serge Gainsbourg,96,8.8,2009-03-24,The US release of Serge Gainsbourg's 1971 album featuring Jane Birkin in the classic Ballade de Melody Nelson.,https://www.metacritic.com/music/histoire-de-melody-nelson/serge-gainsbourg,https://www.metacritic.com/person/serge-gainsbourg,Light In The Attic,https://www.metacritic.com/company/light-in-the-attic,https://static.metacritic.com/images/products/music/6/aad13ce0577c8d8a1d19af9c7066fc8e-98.jpg,"['Rock', 'Pop']",9,https://www.metacritic.com/music/histoire-de-melody-nelson/serge-gainsbourg/critic-reviews,63.0,https://www.metacritic.com/music/histoire-de-melody-nelson/serge-gainsbourg/user-reviews,https://www.metacritic.com/music/histoire-de-melody-nelson/serge-gainsbourg/details,
7,DAMN.,Kendrick Lamar,95,8.4,2017-04-14,"The fourth full-length studio release for the Compton rapper features guest appearances from Rihanna, U2, and Zacari.",https://www.metacritic.com/music/damn/kendrick-lamar,https://www.metacritic.com/person/kendrick-lamar,Aftermath,https://www.metacritic.com/company/aftermath,https://static.metacritic.com/images/products/music/1/413ce2e1200981ad7114c3b04836378a-98.jpg,['Rap'],39,https://www.metacritic.com/music/damn/kendrick-lamar/critic-reviews,3098.0,https://www.metacritic.com/music/damn/kendrick-lamar/user-reviews,https://www.metacritic.com/music/damn/kendrick-lamar/details,https://www.amazon.com/DAMN-Kendrick-Lamar/dp/B06Y4DGVZC?SubscriptionId=AKIAJHSMUOWEQCQ7QDAQ&tag=metacritic-music-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06Y4DGVZC
8,Stankonia,Outkast,95,8.8,2000-10-31,"Featuring the hit singles ""B.O.B."" and ""Ms. Jackson,"" 'Stankonia' was a commercial and critical hit for the innovative Atlanta hip-hop duo of Dré and Big Boi.",https://www.metacritic.com/music/stankonia/outkast,https://www.metacritic.com/person/outkast,Arista/La Face,https://www.metacritic.com/company/aristala-face,https://static.metacritic.com/images/products/music/9/a3556781d32c32679cf702fe517c67c5-98.jpg,['Rap'],20,https://www.metacritic.com/music/stankonia/outkast/critic-reviews,447.0,https://www.metacritic.com/music/stankonia/outkast/user-reviews,https://www.metacritic.com/music/stankonia/outkast/details,
9,Rough and Rowdy Ways,Bob Dylan,95,7.6,2020-06-19,The first new studio release of new music for the singer-songwriter in eight years.,https://www.metacritic.com/music/rough-and-rowdy-ways/bob-dylan,https://www.metacritic.com/person/bob-dylan,Columbia,https://www.metacritic.com/company/columbia,https://static.metacritic.com/images/products/music/6/2750f1d58951e93ecfa71f5c0ef6258d-98.jpg,['Pop/Rock'],25,https://www.metacritic.com/music/rough-and-rowdy-ways/bob-dylan/critic-reviews,187.0,https://www.metacritic.com/music/rough-and-rowdy-ways/bob-dylan/user-reviews,https://www.metacritic.com/music/rough-and-rowdy-ways/bob-dylan/details,https://www.amazon.com/dp/B0884BK38T%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0884BK38T
10,Black Messiah,D'Angelo,95,8.8,2014-12-15,"The first release in 14 years for the R&B singer features songs co-written with Q-Tip and Kendra Foster as well as co-production from James Gadson, Pino Palladino,and Questlove.",https://www.metacritic.com/music/black-messiah/dangelo,https://www.metacritic.com/person/dangelo,RCA,https://www.metacritic.com/company/rca,https://static.metacritic.com/images/products/music/1/ac6e4af86fb3cf602a737686bc332014-98.jpg,"['R&B', 'Soul', 'Funk']",30,https://www.metacritic.com/music/black-messiah/dangelo/critic-reviews,385.0,https://www.metacritic.com/music/black-messiah/dangelo/user-reviews,https://www.metacritic.com/music/black-messiah/dangelo/details,
11,Conflict Of Interest,Ghetts,95,6.6,2021-02-19,"The third full-length studio release for the British grime artist features guest appearances from BackRoad Gee, Dave, Giggs, Hamzaaand, Jaykae, Aida Lae, Miraa May, Pa Salieu, Emeli Sande, Moonchild Sanelly, Ed Sheeran, Skepta, Stormzy, and Wretch 32.",https://www.metacritic.com/music/conflict-of-interest/ghetts,https://www.metacritic.com/person/ghetts,Warner Records,https://www.metacritic.com/company/warner-records,https://static.metacritic.com/images/products/music/1/fa7c0f06c906afa821fc713dbc1c2be3-98.jpg,"['Electronic', 'Rap', 'R&B', 'British', 'Rap', 'Grime']",7,https://www.metacritic.com/music/conflict-of-interest/ghetts/critic-reviews,60.0,https://www.metacritic.com/music/conflict-of-interest/ghetts/user-reviews,https://www.metacritic.com/music/conflict-of-interest/ghetts/details,https://www.amazon.com/dp/B08TCH9C7P%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB08TCH9C7P
12,Skeleton Tree,Nick Cave & the Bad Seeds,95,8.3,2016-09-09,"Nick Cave's 15-year-old son died in an accident while he was working on the alternative rock band's 16th album. The recording sessions were filmed for Andrew Dominik's documentary, One More Time With Feel.",https://www.metacritic.com/music/skeleton-tree/nick-cave-the-bad-seeds,https://www.metacritic.com/person/nick-cave-the-bad-seeds,Bad Seeds Ltd.,https://www.metacritic.com/company/bad-seeds-ltd,https://static.metacritic.com/images/products/music/7/b93b92cd67e83a3fa4fd2b4c76c3dd61-98.jpg,"['Pop/Rock', 'Alternative/Indie', 'Rock', 'Alternative', 'Singer/Songwriter', 'Post-Punk']",36,https://www.metacritic.com/music/skeleton-tree/nick-cave-the-bad-seeds/critic-reviews,385.0,https://www.metacritic.com/music/skeleton-tree/nick-cave-the-bad-seeds/user-reviews,https://www.metacritic.com/music/skeleton-tree/nick-cave-the-bad-seeds/details,http://www.amazon.com/dp/B01GINERYM%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01GINERYM
13,Savane,Ali Farka Toure,94,8.4,2006-07-25,"'Savane' is the final album from the acclaimed guitarist from Mali, who died in March 2006 after a three-decade recording career which found him injecting American blues into traditional African music.",https://www.metacritic.com/music/savane/ali-farka-toure,https://www.metacritic.com/person/ali-farka-toure,Nonesuch,https://www.metacritic.com/company/nonesuch,https://static.metacritic.com/images/products/music/2/156b9af1e22756b3bb7012fcf006748b-98.jpg,['World'],11,https://www.metacritic.com/music/savane/ali-farka-toure/critic-reviews,66.0,https://www.metacritic.com/music/savane/ali-farka-toure/user-reviews,https://www.metacritic.com/music/savane/ali-farka-toure/details,
