,Album,Artist,Metascore,User Score,Release Date,Summary,Link to Album Page,Link to Artist Page,Publisher,Link to Publisher Page,Album Cover Image,Album Genres,No. of Critic Reviews,Link to Critic Reviews,No. of User Reviews,Link to User Reviews,Link to more Details and Album Credits,Amazon Link
0,Ten Freedom Summers,Wadada Leo Smith,99,4.3,"May 22, 2012",The four-disc set from the jazz trumpeter was inspired by the Civil Rights Movement.,https://www.metacritic.com/music/ten-freedom-summers/wadada-leo-smith,https://www.metacritic.com/person/wadada-leo-smith,Cuneiform Records,['https://www.metacritic.com/company/cuneiform-records'],Cuneiform Records,"Genre(s): 
Jazz",8,https://www.metacritic.com/music/ten-freedom-summers/wadada-leo-smith/critic-reviews,196 Ratings,https://www.metacritic.com/music/ten-freedom-summers/wadada-leo-smith/user-reviews,https://www.metacritic.com/music/ten-freedom-summers/wadada-leo-smith/details,http://www.amazon.com/Ten-Freedom-Summers-Wadada-Smith/dp/B007JZFX9C%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB007JZFX9C
1,Fetch the Bolt Cutters,Fiona Apple,98,8.1,"April 17, 2020","The fifth full-length studio release for the alternative singer-songwriter was self-produced and features contributions from Davíd Garza, Sebastian Steinberg, and Amy Aileen Wood.",https://www.metacritic.com/music/fetch-the-bolt-cutters/fiona-apple,https://www.metacritic.com/person/fiona-apple,Epic,['https://www.metacritic.com/company/epic'],Epic,"Genre(s): 
Pop/Rock
Adult Alternative Pop/Rock
Alternative/Indie Rock
Alternative Singer/Songwriter",28,https://www.metacritic.com/music/fetch-the-bolt-cutters/fiona-apple/critic-reviews,1309 Ratings,https://www.metacritic.com/music/fetch-the-bolt-cutters/fiona-apple/user-reviews,https://www.metacritic.com/music/fetch-the-bolt-cutters/fiona-apple/details,https://www.amazon.com/dp/B0872JGR7D%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0872JGR7D
2,SMiLE,Brian Wilson,97,7.9,"September 28, 2004","Well, better 37 years late than never. Originally intended to be the Beach Boys' 1967 follow-up to their legendary 'Pet Sounds,' 'Smile' was finally recorded as originally intended in April 2004 by Wilson and his current band, including co-songwriter Van Dyke Parks.",https://www.metacritic.com/music/smile/brian-wilson,https://www.metacritic.com/person/brian-wilson,Nonesuch,['https://www.metacritic.com/company/nonesuch'],Nonesuch,"Genre(s): 
Rock
Pop",29,https://www.metacritic.com/music/smile/brian-wilson/critic-reviews,512 Ratings,https://www.metacritic.com/music/smile/brian-wilson/user-reviews,https://www.metacritic.com/music/smile/brian-wilson/details,
3,Van Lear Rose,Loretta Lynn,97,8.4,"April 27, 2004","It's been over 40 years since she released her first album (and four since her last, 2000's 'Still Country'), but the coal miner's daughter returns to the spotlight with this 13-track effort (all Lynn-penned originals), produced by The White Stripes' Jack White.",https://www.metacritic.com/music/van-lear-rose/loretta-lynn,https://www.metacritic.com/person/loretta-lynn,Interscope,['https://www.metacritic.com/company/interscope'],Interscope,"Genre(s): 
Country",27,https://www.metacritic.com/music/van-lear-rose/loretta-lynn/critic-reviews,139 Ratings,https://www.metacritic.com/music/van-lear-rose/loretta-lynn/user-reviews,https://www.metacritic.com/music/van-lear-rose/loretta-lynn/details,
4,To Pimp A Butterfly,Kendrick Lamar,96,8.9,"March 16, 2015","The third full-length studio release from the hip hop artist features guest appearances from Bilal, George Clinton, James Fauntleroy, Ronald Isley, Rapsody, Snoop Dogg, Thundercat, and Anna Wise.",https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar,https://www.metacritic.com/person/kendrick-lamar,Interscope / Aftermath,['https://www.metacritic.com/company/interscope-aftermath'],Interscope / Aftermath,"Genre(s): 
Rap",44,https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar/critic-reviews,3949 Ratings,https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar/user-reviews,https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar/details,http://www.amazon.com/dp/B00UDDM7K0%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00UDDM7K0
5,Ghosteen,Nick Cave & the Bad Seeds,96,8.6,"October 4, 2019",The 17th full-length studio release for Australian rock band is influenced in part by the accidental death of Nick Cave's 15-year old son in 2015 and is considered the third and final part of trilogy of albums that includes 2013's Push the Sky Away and 2016's Skeleton Tree.,https://www.metacritic.com/music/ghosteen/nick-cave-the-bad-seeds,https://www.metacritic.com/person/nick-cave-the-bad-seeds,Ghosteen,['https://www.metacritic.com/company/ghosteen'],Ghosteen,"Genre(s): 
Pop/Rock",28,https://www.metacritic.com/music/ghosteen/nick-cave-the-bad-seeds/critic-reviews,279 Ratings,https://www.metacritic.com/music/ghosteen/nick-cave-the-bad-seeds/user-reviews,https://www.metacritic.com/music/ghosteen/nick-cave-the-bad-seeds/details,https://www.amazon.com/dp/B07XJ8D9Z7%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB07XJ8D9Z7
6,Histoire de Melody Nelson,Serge Gainsbourg,96,8.8,"March 24, 2009",The US release of Serge Gainsbourg's 1971 album featuring Jane Birkin in the classic Ballade de Melody Nelson.,https://www.metacritic.com/music/histoire-de-melody-nelson/serge-gainsbourg,https://www.metacritic.com/person/serge-gainsbourg,Light In The Attic,['https://www.metacritic.com/company/light-in-the-attic'],Light In The Attic,"Genre(s): 
Rock
Pop",9,https://www.metacritic.com/music/histoire-de-melody-nelson/serge-gainsbourg/critic-reviews,63 Ratings,https://www.metacritic.com/music/histoire-de-melody-nelson/serge-gainsbourg/user-reviews,https://www.metacritic.com/music/histoire-de-melody-nelson/serge-gainsbourg/details,
7,DAMN.,Kendrick Lamar,95,8.4,"April 14, 2017","The fourth full-length studio release for the Compton rapper features guest appearances from Rihanna, U2, and Zacari.",https://www.metacritic.com/music/damn/kendrick-lamar,https://www.metacritic.com/person/kendrick-lamar,Aftermath,['https://www.metacritic.com/company/aftermath'],Aftermath,"Genre(s): 
Rap",39,https://www.metacritic.com/music/damn/kendrick-lamar/critic-reviews,3095 Ratings,https://www.metacritic.com/music/damn/kendrick-lamar/user-reviews,https://www.metacritic.com/music/damn/kendrick-lamar/details,https://www.amazon.com/DAMN-Kendrick-Lamar/dp/B06Y4DGVZC?SubscriptionId=AKIAJHSMUOWEQCQ7QDAQ&tag=metacritic-music-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06Y4DGVZC
8,Stankonia,Outkast,95,8.8,"October 31, 2000","Featuring the hit singles ""B.O.B."" and ""Ms. Jackson,"" 'Stankonia' was a commercial and critical hit for the innovative Atlanta hip-hop duo of Dré and Big Boi.",https://www.metacritic.com/music/stankonia/outkast,https://www.metacritic.com/person/outkast,Arista/La Face,['https://www.metacritic.com/company/aristala-face'],Arista/La Face,"Genre(s): 
Rap",20,https://www.metacritic.com/music/stankonia/outkast/critic-reviews,447 Ratings,https://www.metacritic.com/music/stankonia/outkast/user-reviews,https://www.metacritic.com/music/stankonia/outkast/details,
9,Rough and Rowdy Ways,Bob Dylan,95,7.6,"June 19, 2020",The first new studio release of new music for the singer-songwriter in eight years.,https://www.metacritic.com/music/rough-and-rowdy-ways/bob-dylan,https://www.metacritic.com/person/bob-dylan,Columbia,['https://www.metacritic.com/company/columbia'],Columbia,"Genre(s): 
Pop/Rock",25,https://www.metacritic.com/music/rough-and-rowdy-ways/bob-dylan/critic-reviews,187 Ratings,https://www.metacritic.com/music/rough-and-rowdy-ways/bob-dylan/user-reviews,https://www.metacritic.com/music/rough-and-rowdy-ways/bob-dylan/details,https://www.amazon.com/dp/B0884BK38T%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0884BK38T
